id,plan,billing,model,model_display,vendor,label,price_usd,monthly_yi,real_usd_per_mtok,list_blended_usd_per_mtok,d,confidence,tier,source,note,arena_code__score,arena_code__variant,arena_agent_mode__score,arena_agent_mode__variant,aa_intelligence_index__score,aa_intelligence_index__variant,aa_coding_agent_index__score,aa_coding_agent_index__variant
chatgpt_plus::gpt-5.6-sol,ChatGPT Plus,subscription,gpt-5.6-sol,GPT 5.6 Sol,OpenAI,GPT 5.6 Sol · ChatGPT Plus,20.0,6.16,0.03247,0.5472,0.0593,medium,main,awesome-coding-plan 2026-07-30 实测,,1617,gpt-5.6-sol-xhigh (codex-harness),9.49,GPT 5.6 Sol (xHigh),61,GPT-5.6 Sol (max),65.0524,Codex - GPT-5.6 Sol (max)
chatgpt_pro_5x::gpt-5.6-sol,ChatGPT Pro 5x,subscription,gpt-5.6-sol,GPT 5.6 Sol,OpenAI,GPT 5.6 Sol · ChatGPT Pro 5x,100.0,30.8,0.03247,0.5472,0.0593,medium,full,Plus × 官方 5x,flat.json 写 38.9 与官方 5x 不符，改 30.8,1617,gpt-5.6-sol-xhigh (codex-harness),9.49,GPT 5.6 Sol (xHigh),61,GPT-5.6 Sol (max),65.0524,Codex - GPT-5.6 Sol (max)
chatgpt_pro_20x::gpt-5.6-sol,ChatGPT Pro 20x,subscription,gpt-5.6-sol,GPT 5.6 Sol,OpenAI,GPT 5.6 Sol · ChatGPT Pro 20x,200.0,123.2,0.01623,0.5472,0.0297,high,main,Plus × 官方 20x,用户拍板 123.2；两个独立印证：OpenAI 社区健康周 7.87 亿 = 24% → 131 亿/月；《财经》2026-08 跑满实测 109 亿/月；文章 200 亿作废,1617,gpt-5.6-sol-xhigh (codex-harness),9.49,GPT 5.6 Sol (xHigh),61,GPT-5.6 Sol (max),65.0524,Codex - GPT-5.6 Sol (max)
claude_pro::claude-opus-4.8,Claude Pro,subscription,claude-opus-4.8,Claude Opus 4.8,Anthropic,Claude Opus 4.8 · Claude Pro,20.0,15.88,0.01259,0.684,0.0184,medium,main,awesome-coding-plan 实测,Opus4.8历史实测保留，现服务Opus5未重测；round5候选Opus5约1.9亿依赖假定周消息数，用户未确认，不作为实测收紧证据,1563,claude-opus-4-8-high,9.22,Claude Opus 4.8 (High),57.3,Claude Opus 4.8,62.1405,Claude Code - Opus 4.8 (max)
claude_max_20x::claude-opus-5,Claude Max 20x (9/14+),subscription,claude-opus-5,Claude Opus 5,Anthropic,Claude Opus 5 · Claude Max 20x (9/14+),200.0,157.0,0.01274,0.684,0.0186,medium,main,Zenn skipbit实测+用户永久口径；claude-adoption-round6-2026-09-06.json,旧80亿→157亿，9/14起永久口径：47.2亿/周×4÷1.5×1.25≈157；参考区间110~200亿，单点medium。混合模型及非完全同窗样本，非纯Opus5实测硬上限；不取活动期189或裸基准126；历史413/117等旁证保留，不直接采用,1688,claude-opus-5-max,13.74,Claude Opus 5 (High),63,Claude Opus 5 (max),68.1498,Claude Code - Opus 5 (xhigh)
claude_max_5x::claude-opus-5,Claude Max 5x (9/14+),subscription,claude-opus-5,Claude Opus 5,Anthropic,Claude Opus 5 · Claude Max 5x (9/14+),100.0,78.5,0.01274,0.684,0.0186,medium,full,用户明确20x周池仅为5x的2倍；claude-adoption-round6-2026-09-06.json,旧35.6亿→78.5亿，9/14起永久口径157÷2；low→medium按用户确认周池关系推算，非独立实测；不采用36亿消息数候选或70亿/旧2.25倍率；5h窗口4倍关系不套周池,1688,claude-opus-5-max,13.74,Claude Opus 5 (High),63,Claude Opus 5 (max),68.1498,Claude Code - Opus 5 (xhigh)
supergrok::grok-4.6,SuperGrok,subscription,grok-4.6,Grok 4.6,xAI,Grok 4.6 · SuperGrok,30.0,5.09,0.05894,0.5519,0.1068,high,main,V2EX 受控打满实测（非双倍周）1%→100% 新增 1.27 亿/周 ×4,面板周额度 $25；同帖双倍活动周 2.45 亿/周不采；linux.do 另测 1.44 亿/周同量级,1625,grok-4.6-high,5.33,Grok 4.6 (xHigh),61,Grok 4.6 (high),,
supergrok_plus::grok-4.6,SuperGrok Plus,subscription,grok-4.6,Grok 4.6,xAI,Grok 4.6 · SuperGrok Plus,100.0,20.4,0.04902,0.5519,0.0888,medium,full,面板周额度 $100 × Super 标定 508 万 token/$ ×4,linux.do 用户口述「每用一刀涨 1%」→ 周 $100 吻合,1625,grok-4.6-high,5.33,Grok 4.6 (xHigh),61,Grok 4.6 (high),,
supergrok_heavy::grok-4.6,SuperGrok Heavy,subscription,grok-4.6,Grok 4.6,xAI,Grok 4.6 · SuperGrok Heavy,300.0,50.9,0.05894,0.5519,0.1068,medium,main,面板周额度 $250 × Super 标定 508 万 token/$ ×4,= Cursor 最初记录的周 12 亿；标价换算 18 亿作废（面板美元≠标价美元）；Zhang $11.5k/月 → 208 亿未采,1625,grok-4.6-high,5.33,Grok 4.6 (xHigh),61,Grok 4.6 (high),,
supergrok_lite::grok-4.6,SuperGrok Lite,subscription,grok-4.6,Grok 4.6,xAI,Grok 4.6 · SuperGrok Lite,10.0,1.5,0.06667,0.5519,0.1208,low,full,aa_grok_build_2026_07,面板周额度未知，三轮联网均无,1625,grok-4.6-high,5.33,Grok 4.6 (xHigh),61,Grok 4.6 (high),,
